TSNE1,TSNE2,class
9.173999,0.9750773,eiffel_tower
-35.106495,2.6214328,eiffel_tower
8.8841305,1.6041996,eiffel_tower
-9.179652,-4.843327,eiffel_tower
37.180542,1.1031425,eiffel_tower
-32.14711,3.0028377,eiffel_tower
37.54739,1.8278509,eiffel_tower
-3.9355807,-1.9947454,eiffel_tower
-8.233872,-3.6594298,eiffel_tower
37.149662,2.8635,eiffel_tower
-38.589787,2.7570033,eiffel_tower
2.9563432,-1.5669827,eiffel_tower
17.46282,1.1473029,eiffel_tower
18.700306,0.81706595,eiffel_tower
-13.151278,-0.9002935,eiffel_tower
24.119762,-2.3313997,eiffel_tower
-18.13918,-1.0122393,eiffel_tower
-40.579487,3.3097878,eiffel_tower
-36.158356,2.5500846,eiffel_tower
2.2100327,-1.6775329,eiffel_tower
-39.846947,1.005066,eiffel_tower
-39.380096,3.1468773,eiffel_tower
40.242004,2.5700793,eiffel_tower
-26.033749,0.97204304,eiffel_tower
37.635704,1.2658038,eiffel_tower
35.069805,1.9673132,eiffel_tower
36.75717,0.119425245,eiffel_tower
37.844254,2.4748154,eiffel_tower
28.463072,0.7566691,eiffel_tower
-36.431976,1.302634,eiffel_tower
40.779934,2.4089293,eiffel_tower
6.358717,-0.43984032,eiffel_tower
-29.513138,1.5068401,eiffel_tower
2.0773416,-2.3499804,eiffel_tower
-6.703825,-4.489992,eiffel_tower
-27.865335,2.1020818,eiffel_tower
10.094671,1.7038716,eiffel_tower
-15.773112,-1.9284855,eiffel_tower
-0.57377887,-1.1419754,eiffel_tower
-6.8297167,-3.1166627,eiffel_tower
-5.0853205,-2.6490858,eiffel_tower
-8.819297,-4.473515,eiffel_tower
-17.872185,-0.54282266,eiffel_tower
-28.657028,2.9462934,eiffel_tower
-29.016235,1.6238508,eiffel_tower
15.584489,-0.24551545,eiffel_tower
31.98434,1.4221399,eiffel_tower
39.435455,2.7789035,eiffel_tower
4.929215,-0.36433387,eiffel_tower
-36.63574,1.7046553,eiffel_tower
-20.345024,-1.7866082,eiffel_tower
36.922646,0.703083,eiffel_tower
-9.013187,-1.1546817,stonehenge
-35.922962,3.0539136,stonehenge
8.589133,-1.2816869,stonehenge
-37.77123,2.870426,stonehenge
4.2903104,-1.6869473,stonehenge
23.291046,1.6953968,stonehenge
8.965899,-1.7764263,stonehenge
10.785365,-1.8374457,stonehenge
-20.13811,0.6455577,stonehenge
-4.7405562,-3.5093625,stonehenge
-1.3510745,-3.7334397,stonehenge
30.175571,0.8581644,stonehenge
8.629281,-1.3372989,stonehenge
-27.286285,0.99139625,stonehenge
-10.4161215,-1.3688247,stonehenge
10.68552,-0.86135733,stonehenge
-27.128456,0.7199321,stonehenge
-38.485195,2.569285,stonehenge
3.807649,-1.818921,stonehenge
-5.9767704,-2.604393,stonehenge
6.0133777,-2.3220537,stonehenge
1.4860802,-2.2134242,stonehenge
35.281796,3.479199,stonehenge
4.529363,-2.336237,stonehenge
35.254246,2.3863575,stonehenge
-35.69684,2.4669561,stonehenge
-18.140928,-0.5523049,stonehenge
