PCA_1,class
8964.286943851246,chichen_itza
3251.570478003957,chichen_itza
3755.6997756404335,chichen_itza
2243.714592181862,chichen_itza
1902.1924145686435,chichen_itza
3432.236809791554,chichen_itza
868.4784173679591,chichen_itza
1480.9711763147452,chichen_itza
4135.031511688066,chichen_itza
893.95157683458,chichen_itza
3524.3266387010763,chichen_itza
-645.7323726036029,chichen_itza
2436.2232880075962,chichen_itza
2093.1075076427724,chichen_itza
2977.3379466518372,chichen_itza
8327.671539772506,chichen_itza
3939.8936378969092,chichen_itza
345.53706955310736,chichen_itza
5758.409679024503,chichen_itza
5022.4166104723945,chichen_itza
3130.4137618072245,chichen_itza
7003.683873879204,chichen_itza
-371.81067511391575,chichen_itza
5014.600639580184,chichen_itza
3330.9425963957065,chichen_itza
4257.955447008043,chichen_itza
-3597.8072370244736,chichen_itza
143.26565677503368,chichen_itza
894.4518871391238,chichen_itza
2386.6188580195276,chichen_itza
2229.392989193798,chichen_itza
3796.434361657827,chichen_itza
1888.325645169215,chichen_itza
1641.477650491549,chichen_itza
2587.5551021294823,chichen_itza
4796.483307182008,chichen_itza
1311.7765962766816,chichen_itza
3685.7056684110166,chichen_itza
-338.1818741592997,chichen_itza
416.0537743114519,chichen_itza
246.21722468259668,chichen_itza
-431.856644170507,chichen_itza
-1537.9772272734244,chichen_itza
1778.870672338603,chichen_itza
2353.1593640302135,chichen_itza
-556.4980996472741,chichen_itza
2757.6726799171,chichen_itza
149.0860243885345,chichen_itza
4630.485877049053,chichen_itza
1005.0907455231654,chichen_itza
5207.495052003841,chichen_itza
-1104.6859914860497,chichen_itza
2752.7510992803172,chichen_itza
2351.1989267945237,chichen_itza
643.2192947155318,chichen_itza
3084.556924574924,chichen_itza
5675.548802551389,chichen_itza
1235.9731731748498,chichen_itza
3508.862945369995,chichen_itza
-1490.2001509180218,chichen_itza
974.752158829956,chichen_itza
2487.6574629258457,chichen_itza
2165.210777318046,chichen_itza
-194.71316525097063,chichen_itza
5937.730877842986,chichen_itza
760.6698075416216,chichen_itza
1614.018790118601,chichen_itza
2265.0164930680157,chichen_itza
-1865.3817396327813,chichen_itza
-711.5434978186577,chichen_itza
7567.838103084577,chichen_itza
-783.8113806459687,chichen_itza
-1882.270073006006,chichen_itza
2855.8685930500587,chichen_itza
-564.3372175039722,chichen_itza
1969.1616042199994,chichen_itza
